City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
100,Kyren,RU,2020-07-14 15:16:59,51.68,102.14,66.04,71,93,1.88
101,Antofagasta,CL,2020-07-14 15:16:59,-23.65,-70.4,51.8,87,40,3.36
102,Oistins,BB,2020-07-14 15:16:59,13.07,-59.53,87.8,66,40,13.87
103,Coro,VE,2020-07-14 15:17:00,11.4,-69.67,85.8,65,33,15.39
104,Lebu,CL,2020-07-14 15:17:00,-37.62,-73.65,52.75,56,15,2.53
105,Saskylakh,RU,2020-07-14 15:17:00,71.92,114.08,62.46,75,94,11.43
106,Linxia,CN,2020-07-14 15:17:00,35.6,103.21,62.49,77,3,3.0
107,Saldanha,ZA,2020-07-14 15:17:00,-33.01,17.94,59.0,51,19,9.17
108,Barrow,US,2020-07-14 15:17:00,71.29,-156.79,33.8,100,90,9.17
109,Nova Olimpia,BR,2020-07-14 15:17:01,-14.8,-57.29,94.28,29,0,3.89
110,Clyde River,CA,2020-07-14 15:17:01,70.47,-68.59,64.4,52,75,9.17
111,Kruisfontein,ZA,2020-07-14 15:17:01,-34.0,24.73,49.64,75,80,16.78
112,Sassandra,CI,2020-07-14 15:17:01,4.95,-6.08,79.27,70,70,12.44
113,New Ulm,US,2020-07-14 15:14:35,44.31,-94.46,73.0,82,99,5.99
114,Batagay-Alyta,RU,2020-07-14 15:17:02,67.8,130.41,50.77,88,6,3.47
115,Puerto Leguizamo,CO,2020-07-14 15:17:02,-0.19,-74.78,79.47,89,71,0.67
116,Flinders,AU,2020-07-14 15:17:02,-34.58,150.86,54.0,83,94,7.0
117,Sao Filipe,CV,2020-07-14 15:17:02,14.9,-24.5,78.6,84,86,6.04
118,Catamarca,AR,2020-07-14 15:12:38,-28.47,-65.79,53.01,65,0,3.0
119,Dikson,RU,2020-07-14 15:17:02,73.51,80.55,39.69,95,97,10.92
120,Lata,PT,2020-07-14 15:17:02,40.16,-8.33,89.01,46,0,12.33
121,Sechura,PE,2020-07-14 15:17:02,-5.56,-80.82,68.74,71,82,8.16
122,Pandan,PH,2020-07-14 15:17:03,14.05,124.17,81.61,83,7,6.64
123,Hilo,US,2020-07-14 15:17:03,19.73,-155.09,73.4,88,90,5.82
124,Port Lincoln,AU,2020-07-14 15:17:03,-34.73,135.87,53.06,70,0,11.99
