City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
115,Illoqqortoormiut,not found,27.8,76.95,0.0,0,0,0.0,no weather description,0.0,0
116,Dali,CN,25.7,100.18,67.73,76,100,4.36,light rain,0.16,0
117,Longyearbyen,SJ,78.22,15.64,46.4,70,75,5.82,broken clouds,0.0,0
118,Bredasdorp,ZA,-34.53,20.04,44.6,81,0,5.82,clear sky,0.0,0
119,Xuanzhou,CN,30.95,118.76,67.78,96,100,8.93,moderate rain,2.48,0
120,Mendahara,not found,30.95,118.76,0.0,0,0,0.0,no weather description,0.0,0
121,Salalah,OM,17.02,54.09,80.6,94,90,5.82,haze,0.0,0
122,Kachug,RU,53.96,105.88,81.99,48,0,1.43,clear sky,0.0,0
123,Touros,BR,-5.2,-35.46,75.2,88,20,4.7,few clouds,0.0,0
124,Hovd,MN,48.01,91.64,58.73,65,97,2.13,overcast clouds,0.0,0
125,Georgetown,MY,5.41,100.34,84.2,88,20,3.36,few clouds,0.0,0
126,Bajo Baudo,not found,5.41,100.34,0.0,0,0,0.0,no weather description,0.0,0
127,Svetlogorsk,BY,52.63,29.73,53.1,86,97,9.44,overcast clouds,0.0,0
128,Pamekasan,ID,-7.16,113.47,83.75,63,97,7.4,overcast clouds,0.0,0
129,Petapa,GT,14.5,-90.55,68.0,88,75,11.41,broken clouds,0.0,0
130,Dekar,BW,-21.53,21.93,36.52,76,0,9.62,clear sky,0.0,0
131,Tura,IN,25.52,90.22,76.78,94,100,2.55,light rain,0.23,0
132,Nikolskoye,RU,59.7,30.79,55.99,87,91,4.47,fog,0.0,0
133,Port Alfred,ZA,-33.59,26.89,50.74,74,88,15.93,light rain,0.31,0
134,Mashhad,IR,36.3,59.61,78.8,36,40,9.17,scattered clouds,0.0,0
135,Marawi,PH,8.0,124.29,82.99,78,8,3.0,clear sky,0.0,0
136,Nishihara,JP,26.18,127.76,87.8,79,75,13.87,broken clouds,0.0,0
137,Parana,AR,-31.73,-60.52,48.99,10,0,7.0,clear sky,0.0,0
138,Gayeri,BF,12.65,0.49,76.23,82,90,12.03,moderate rain,1.17,0
139,Mataura,NZ,-46.19,168.86,47.86,72,4,4.56,clear sky,0.0,0
140,Linqiong,CN,30.42,103.46,78.8,61,40,3.83,scattered clouds,0.0,0
141,Bonavista,CA,48.65,-53.11,51.01,84,100,3.0,light rain,0.74,0
142,Aden,YE,12.78,45.04,86.9,74,100,20.4,overcast clouds,0.0,0
143,West Plains,US,36.73,-91.85,84.99,70,75,6.93,broken clouds,0.0,0
144,Kopervik,NO,59.28,5.31,55.4,93,21,2.24,few clouds,0.0,0
145,Zaysan,KZ,47.47,84.87,72.55,45,5,6.55,clear sky,0.0,0
146,Chagda,not found,47.47,84.87,0.0,0,0,0.0,no weather description,0.0,0
