City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
123,Touros,BR,75.2,few clouds,-5.2,-35.46,INN NEW HORIZON
125,Georgetown,MY,84.2,few clouds,5.41,100.34,Cititel Penang
128,Pamekasan,ID,83.75,overcast clouds,-7.16,113.47,OYO 3027 Griya Temenggungan Syariah
134,Mashhad,IR,78.8,scattered clouds,36.3,59.61,Almas 1 Hotel
135,Marawi,PH,82.99,clear sky,8.0,124.29,Derogongan Residence
136,Nishihara,JP,87.8,broken clouds,26.18,127.76,Minshuku Agaihama
140,Linqiong,CN,78.8,scattered clouds,30.42,103.46,Tianlun Tanxianglou Hotel
142,Aden,YE,86.9,overcast clouds,12.78,45.04,Sama Emirate Hotel
143,West Plains,US,84.99,broken clouds,36.73,-91.85,West Plains Motel
145,Zaysan,KZ,72.55,clear sky,47.47,84.87,Gostinitsa Aray
147,Erattupetta,IN,77.0,mist,9.7,76.78,White Castle Residency
152,Riyadh,SA,93.2,clear sky,24.69,46.72,InterContinental Riyadh
153,Kudahuvadhoo,MV,83.7,overcast clouds,2.67,72.89,Kudahuvadhoo Retreat
154,Gojo,JP,77.0,broken clouds,34.35,135.7,Fujiikan
156,Cabo San Lucas,MX,93.99,few clouds,22.89,-109.91,Hotel Tesoro Los Cabos
158,Luanda,AO,71.6,broken clouds,-8.84,13.23,EPIC SANA Luanda
159,Klyuchi,RU,72.23,clear sky,52.27,79.17,Vesolaya Mayovka
164,Jinchang,CN,80.83,overcast clouds,38.5,102.17,Mingshihui Jinchang International Hotel
166,Port Hedland,AU,73.4,broken clouds,-20.32,118.57,The Esplanade Hotel
175,Vila Velha,BR,73.4,scattered clouds,-20.33,-40.29,Hotel Vitória Palace
181,Canico,PT,71.6,few clouds,32.63,-16.85,Quinta Splendida Wellness & Botanical Garden
182,Kurumkan,RU,79.39,clear sky,54.3,110.3,Ilikchin
189,Port Blair,IN,82.89,overcast clouds,11.67,92.75,Fortune Resort Bay Island
191,Baruun-Urt,MN,80.29,overcast clouds,46.68,113.28,Ахмадын амралт сувилал
193,Green River,US,78.8,clear sky,41.53,-109.47,Hampton Inn & Suites Green River
194,Isangel,VU,78.8,broken clouds,-19.55,169.27,Volcano Sea View Tree House
198,Sorong,ID,83.62,broken clouds,-0.88,131.25,The Waigo Hotel
199,Yatou,CN,77.94,clear sky,37.15,122.38,GreenTree Hotel Rongcheng Bus Station
200,Guerrero Negro,MX,70.92,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
203,Marseille,FR,71.01,clear sky,43.33,5.5,Hôtel The Originals Côté Sud (ex Inter-Hotel)
206,Pataskala,US,75.2,clear sky,40.0,-82.67,James Helfrich apartments
207,Naze,JP,87.8,broken clouds,28.37,129.48,奄美ポートタワーホテル
211,Fuzhou,CN,87.8,overcast clouds,26.06,119.31,Shangri La Hotel Fuzhou
212,Peleduy,RU,85.89,scattered clouds,59.63,112.74,Гостиница «Уют»
217,Chaohu,CN,72.0,light rain,31.6,117.87,Shell Hefei Chaohu Railway Station Wanda Plaza Hotel
220,Neryungri,RU,82.94,clear sky,56.67,124.65,Pyat' Zvozd
227,Acapulco,MX,86.0,scattered clouds,16.86,-99.89,HS Hotsson Smart Acapulco
231,Fort Nelson,CA,75.2,broken clouds,58.81,-122.7,The Fort Nelson Hotel
233,Komsomolskiy,UZ,77.0,clear sky,40.43,71.72,Ikathouse
234,Padang,ID,84.07,few clouds,-0.95,100.35,Mercure Padang
239,Kahului,US,89.6,scattered clouds,20.89,-156.47,Maui Seaside Hotel
241,Karratha,AU,77.77,overcast clouds,-20.74,116.85,ibis Styles Karratha
242,Erzin,TR,77.0,clear sky,36.96,36.2,Artemis Otel
250,Jizan,SA,93.2,clear sky,17.33,42.67,شهدان. ابوالحجر
257,Bassar,TG,73.4,few clouds,9.25,0.78,ABOU KPANKISSI
258,Praia,CV,78.8,scattered clouds,14.92,-23.51,LT Aparthotel
